"SID","count","L1.beepvar","L1.A_rude","L1.E_quiet","L1.C_lazy","L1.N_relaxed","L1.N_depressed","L1.E_outgoing","L1.A_kind","L1.C_reliable","L1.N_worried","L1.pos_emo","L1.neg_emo","L1.authentic","L1.self_esteem","L1.happy","L1.lonely","L1.aca_motiv","L1.around_others","L1.connected","L2.GPA","L2.life_sat","L2.friendship_sat","L2.community_sat","L2.academic_sat","L2.psych_sat","L2.procrastinate","L2.gender","L2.age"
10320,40,18,1.66666666666667,5,2,1,5,1,2.8,3,5,1,5,5,1,1,5,5,1,1,NA,9,9,11,6,13,4,1,18
10320,40,19,1.66666666666667,5,1,5,2,1,2.8,5,1,3,3,5,3,3,1,5,1,1,NA,9,9,11,6,13,4,1,18
10320,40,20,1,5,1,1,5,1,1,5,5,1,5,3,1,1,3,5,1,3,NA,9,9,11,6,13,4,1,18
10320,40,21,2,2,2,3,2,3,2,4,3,4,2,3,3,3,2,4,4,3,NA,9,9,11,6,13,4,1,18
10320,40,22,3,2,4,3,1,4,4,1,4,3,2,3,3,3,1,4,3,3,NA,9,9,11,6,13,4,1,18
10320,40,23,1.66666666666667,5,4,2,3,1,2.8,3,4,3,3,3,3,3,2,5,1,2,NA,9,9,11,6,13,4,1,18
10320,40,24,2,5,1,1,3,2,3,3,4,2,4,5,2,1,3,5,1,1,NA,9,9,11,6,13,4,1,18
10320,40,25,1,3,1,2,1,3,4,5,3,3,4,2,1,3,3,5,3,1,NA,9,9,11,6,13,4,1,18
10320,40,26,3,2,2,3,3,3,3,4,2,4,2,2,3,4,1,3,3,4,NA,9,9,11,6,13,4,1,18
10320,40,28,2,1,4,5,1,4,3,3,1,5,2,5,4,5,1,2,5,5,NA,9,9,11,6,13,4,1,18
10320,40,30,3,3,4,3,5,2,2,3,3,2,5,5,1,1,3,3,3,2,NA,9,9,11,6,13,4,1,18
10320,40,31,1,2,4,3,2,4,4,3,2,4,2,5,3,4,4,2,4,4,NA,9,9,11,6,13,4,1,18
10320,40,32,2,3,5,4,3,3,3,3,3,2,2,3,3,4,1,1,4,3,NA,9,9,11,6,13,4,1,18
10320,40,34,1,1,4,5,3,4,4,3,1,3,3,3,2,3,1,1,3,5,NA,9,9,11,6,13,4,1,18
10320,40,36,2,1,2,4,1,4,4,3,1,4,2,3,3,3,2,1,3,3,NA,9,9,11,6,13,4,1,18
10320,40,38,1,1,3,1,3,3,3,1,3,2,4,2,1,2,1,5,2,2,NA,9,9,11,6,13,4,1,18
10320,40,41,1,5,3,2,2,1,1,3,2,3,3,4,3,3,3,3,1,2,NA,9,9,11,6,13,4,1,18
10320,40,42,2,2,3,5,1,3,4,3,1,4,3,3,2,3,1,5,4,4,NA,9,9,11,6,13,4,1,18
10320,40,44,2,1,1,2,1,4,3,3,2,4,2,3,3,4,1,1,5,4,NA,9,9,11,6,13,4,1,18
10320,40,45,1.66666666666667,5,4,3,3,1,2.8,3,3,2,3,3,3,3,1,3,1,1,NA,9,9,11,6,13,4,1,18
10320,40,47,1,2,4,1,3,2,2,2,3,2,5,3,1,2,2,3,2,1,NA,9,9,11,6,13,4,1,18
10320,40,48,1,4,2,3,3,2,3,4,3,2,4,3,3,3,4,5,3,2,NA,9,9,11,6,13,4,1,18
10320,40,49,1.66666666666667,5,4,2,2,1,2.8,3,4,3,3,5,3,3,1,2,1,2,NA,9,9,11,6,13,4,1,18
10320,40,53,1,5,2,2,1,2,2,3,3,4,4,2,3,3,1,5,3,3,NA,9,9,11,6,13,4,1,18
10320,40,55,1.66666666666667,5,5,3,2,1,2.8,3,2,3,2,3,3,2,1,2,1,1,NA,9,9,11,6,13,4,1,18
10280,40,1,1,3,2,4,2,2,3,5,2,4,2,5,3,3,2,3,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,0,1,4,1,4,1,2,3,5,1,3,2,5,3,3,2,3,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,2,1,5,1,3,2,1,3,4,2,3,1,3,2,3,1,4,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,3,1,3,2,2,3,2,2,3,2,3,3,4,3,2,3,1,4,2,2.82,11,15,9,10,10,3,2,20
10280,40,4,1.09677419354839,5,5,4,4,1,4,5,3,2,3,5,2,2,4,2,4,2,2.82,11,15,9,10,10,3,2,20
10280,40,5,1,2,1,3,2,3,4,4,1,3,2,4,3,3,2,2,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,6,1.09677419354839,4,5,5,3,1,4,3,2,3,3,5,2,3,3,1,3,1,2.82,11,15,9,10,10,3,2,20
10280,40,8,1,2,2,4,2,4,3,3,1,4,2,4,3,4,2,1,5,3,2.82,11,15,9,10,10,3,2,20
10280,40,9,1.09677419354839,4,2,2,2,1,4,4,3,2,3,5,2,2,3,2,2,1,2.82,11,15,9,10,10,3,2,20
10280,40,10,2,3,1,2,2,3,4,4,4,3,3,3,3,3,2,3,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,11,1,2,1,2,4,3,4,4,4,2,4,5,3,2,4,3,2,4,2.82,11,15,9,10,10,3,2,20
10280,40,12,1,2,4,4,1,4,4,4,3,4,3,5,2,4,1,2,4,4,2.82,11,15,9,10,10,3,2,20
10280,40,13,1.09677419354839,3,2,3,1,2,4,4,2,4,1,5,3,3,2,3,2,2,2.82,11,15,9,10,10,3,2,20
10280,40,14,1,5,1,1,5,1,3,3,5,2,5,2,2,1,5,2,1,1,2.82,11,15,9,10,10,3,2,20
10280,40,15,1,2,2,3,2,4,5,5,2,4,2,4,3,3,2,5,4,3,2.82,11,15,9,10,10,3,2,20
10280,40,16,1,3,2,3,3,3,3,4,4,1,3,3,2,2,3,4,2,1,2.82,11,15,9,10,10,3,2,20
10280,40,17,1,3,2,1,3,3,4,3,5,2,3,3,2,2,4,4,2,2,2.82,11,15,9,10,10,3,2,20
10280,40,18,2,3,1,1,4,2,3,4,5,2,3,3,2,2,2,5,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,21,1,5,3,3,1,2,3,3,2,3,2,4,4,4,2,4,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,22,1,4,1,4,1,2,5,5,2,4,1,4,4,3,2,3,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,23,1.09677419354839,4,1,3,2,1,4,3,3,3,3,5,3,3,3,4,3,1,2.82,11,15,9,10,10,3,2,20
10280,40,24,1.09677419354839,5,2,3,2,1,4,4,3,3,2,5,3,3,2,5,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,26,1,2,1,3,1,4,4,4,1,4,2,5,3,3,1,4,3,4,2.82,11,15,9,10,10,3,2,20
10280,40,28,1,3,2,3,3,2,4,4,3,3,3,4,3,2,2,2,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,31,1,4,2,2,3,2,3,3,4,2,4,3,3,2,2,4,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,32,1,5,2,2,2,1,4,3,2,3,2,3,3,3,4,4,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,33,1,1,3,5,1,5,5,5,2,5,1,5,4,5,1,2,5,5,2.82,11,15,9,10,10,3,2,20
10280,40,34,1,1,2,5,1,5,5,5,1,5,1,5,3,5,1,1,5,5,2.82,11,15,9,10,10,3,2,20
10280,40,37,1,2,3,4,1,5,4,3,1,4,1,4,4,4,1,1,5,3,2.82,11,15,9,10,10,3,2,20
10280,40,39,1,2,3,3,1,4,5,5,2,4,1,5,4,5,1,1,5,3,2.82,11,15,9,10,10,3,2,20
10280,40,40,1.09677419354839,5,4,5,2,1,4,3,2,3,2,5,3,3,3,1,2,2,2.82,11,15,9,10,10,3,2,20
10280,40,41,1.09677419354839,5,2,4,1,1,4,4,3,3,2,5,3,3,3,4,3,1,2.82,11,15,9,10,10,3,2,20
10280,40,42,1,5,1,4,1,2,5,5,4,3,2,4,3,4,2,4,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,46,1,5,2,3,1,2,5,4,4,3,2,3,3,3,2,4,4,2,2.82,11,15,9,10,10,3,2,20
10280,40,48,1,2,2,4,2,4,5,3,2,3,2,4,3,3,1,2,4,3,2.82,11,15,9,10,10,3,2,20
10280,40,49,1.09677419354839,5,1,2,2,1,4,5,4,3,2,5,3,3,1,5,1,1,2.82,11,15,9,10,10,3,2,20
10280,40,50,1,5,2,3,2,1,5,4,3,3,2,3,3,3,2,5,3,2,2.82,11,15,9,10,10,3,2,20
10280,40,52,1,4,1,1,2,2,5,5,4,3,1,4,4,3,2,5,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,54,1,3,1,3,1,2,5,4,3,2,1,3,3,2,3,5,3,3,2.82,11,15,9,10,10,3,2,20
10280,40,58,2,4,3,3,3,2,4,4,2,2,3,3,3,2,3,2,3,2,2.82,11,15,9,10,10,3,2,20
10240,25,1,1,3,3,3,3,3,3,5,2,3,2,5,1,3,2,2,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,3,1,4,1,2,3,4,3,4,4,3,2,4,2,4,3,1,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,4,1,3,2,3,3,3,3,4,3,3,3,3,2,3,3,1,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,5,1,3,5,3,1,2,3,5,5,5,1,5,2,4,1,1,3,5,3.9,3,7,11,11,4,3,2,22
10240,25,6,2,1,5,2,4,3,4,3,4,3,5,3,1,4,2,3,3,4,3.9,3,7,11,11,4,3,2,22
10240,25,9,1,1,5,3,3,2,3,3,4,4,3,5,1,3,4,4,3,4,3.9,3,7,11,11,4,3,2,22
10240,25,10,1,1,3,2,3,4,4,3,4,4,3,4,2,3,2,5,4,3,3.9,3,7,11,11,4,3,2,22
10240,25,11,1,3,3,2,4,2,3,4,5,3,3,5,1,3,2,5,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,12,2,3,1,1,5,1,3,4,5,1,5,3,1,2,5,5,1,1,3.9,3,7,11,11,4,3,2,22
10240,25,13,1,2,1,2,3,4,3,4,5,3,3,4,2,3,3,5,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,16,1,4,1,1,2,2,4,5,5,2,4,5,1,3,2,5,2,3,3.9,3,7,11,11,4,3,2,22
10240,25,17,1,3,1,1,4,3,4,4,5,3,3,4,1,3,4,5,3,3,3.9,3,7,11,11,4,3,2,22
10240,25,19,1,3,4,1,5,1,4,3,5,1,5,3,1,1,4,4,1,2,3.9,3,7,11,11,4,3,2,22
10240,25,21,1,4,4,3,4,3,4,5,4,3,4,5,2,3,3,5,2,3,3.9,3,7,11,11,4,3,2,22
10240,25,23,1,1,1,1,3,3,3,4,5,4,3,5,2,3,3,5,3,4,3.9,3,7,11,11,4,3,2,22
10240,25,24,1,1,3,3,3,1,3,3,3,5,3,4,1,5,1,3,4,4,3.9,3,7,11,11,4,3,2,22
10240,25,32,1,4,5,5,2,1,3,4,3,4,2,5,1,4,1,1,4,4,3.9,3,7,11,11,4,3,2,22
10240,25,34,1,1,5,3,2,3,4,5,2,5,2,5,3,5,1,5,5,5,3.9,3,7,11,11,4,3,2,22
10240,25,35,1,3,5,5,2,1,4,1,4,5,4,3,2,5,2,5,2,5,3.9,3,7,11,11,4,3,2,22
10240,25,36,1,5,5,2,5,1,4,5,5,1,5,5,1,1,5,5,1,1,3.9,3,7,11,11,4,3,2,22
10240,25,39,3,2,4,1,5,1,4,3,5,1,5,3,1,1,3,5,3,2,3.9,3,7,11,11,4,3,2,22
10240,25,40,1,2,1,1,5,1,4,3,5,2,5,4,1,2,3,5,1,2,3.9,3,7,11,11,4,3,2,22
10240,25,43,1.17391304347826,5,3,1,5,1,3.56521739130435,5,5,1,5,3,1,1,5,5,1,1,3.9,3,7,11,11,4,3,2,22
10240,25,44,1,3,1,1,5,1,5,4,5,2,5,3,1,3,4,5,1,3,3.9,3,7,11,11,4,3,2,22
10240,25,47,1.17391304347826,5,1,1,5,1,3.56521739130435,5,5,1,5,3,1,1,3,5,1,2,3.9,3,7,11,11,4,3,2,22
10210,28,1,1,3,1,4,1,5,4,3,1,4,2,4,3,5,2,3,4,2,3.2,15,14,8,7,10,2,2,19
10210,28,0,1,5,1,4,1,2,2,5,2,4,2,5,3,4,1,1,3,1,3.2,15,14,8,7,10,2,2,19
10210,28,4,1,1,1,5,1,5,4,4,1,5,1,3,4,5,1,1,4,5,3.2,15,14,8,7,10,2,2,19
10210,28,6,2,3,1,5,1,3,3,5,1,4,1,5,4,5,1,3,4,3,3.2,15,14,8,7,10,2,2,19
10210,28,8,1,1,5,5,1,4,4,5,1,4,1,4,3,5,1,3,5,5,3.2,15,14,8,7,10,2,2,19
10210,28,10,1,1,1,5,1,5,5,5,1,5,1,5,4,5,1,3,5,5,3.2,15,14,8,7,10,2,2,19
10210,28,11,1.45,5,5,5,3,1,3.55,5,3,3,3,1,4,3,1,3,2,1,3.2,15,14,8,7,10,2,2,19
10210,28,12,1,3,1,1,3,1,4,4,4,3,1,3,2,3,1,1,3,1,3.2,15,14,8,7,10,2,2,19
10210,28,13,1,5,1,5,1,1,5,5,1,5,1,5,5,5,1,3,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,14,1,5,1,5,1,3,5,5,1,3,1,3,3,3,1,3,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,20,3,3,1,5,1,3,4,4,1,1,3,4,4,1,3,3,3,4,3.2,15,14,8,7,10,2,2,19
10210,28,21,1.45,5,5,5,1,1,3.55,3,1,5,1,5,3,5,1,1,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,22,3,4,2,1,3,1,2,3,3,2,4,1,3,2,3,1,1,2,3.2,15,14,8,7,10,2,2,19
10210,28,25,1.45,5,4,5,1,3,3.55,3,3,5,2,4,5,5,4,1,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,26,2,5,3,4,3,3,4,3,2,4,1,3,4,5,3,1,5,3,3.2,15,14,8,7,10,2,2,19
10210,28,29,2,5,1,5,1,1,3,5,1,5,1,5,5,5,1,5,3,5,3.2,15,14,8,7,10,2,2,19
10210,28,30,1.45,5,1,5,1,1,3.55,5,1,5,1,5,5,5,1,5,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,32,2,4,3,3,2,4,3,3,2,4,2,1,3,3,3,2,4,3,3.2,15,14,8,7,10,2,2,19
10210,28,34,1,5,1,5,1,1,3,5,1,5,1,5,5,5,1,3,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,35,1.45,5,1,5,1,1,3.55,5,1,5,1,3,4,5,1,5,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,37,1,3,1,3,1,3,3,3,1,3,1,1,4,4,1,3,3,2,3.2,15,14,8,7,10,2,2,19
10210,28,42,2,5,1,5,1,1,4,5,1,5,1,5,5,5,1,5,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,43,1,5,3,3,1,1,3,5,3,3,1,3,4,3,1,3,3,1,3.2,15,14,8,7,10,2,2,19
10210,28,49,1.45,4,3,3,2,1,3.55,3,3,5,1,5,3,4,3,3,3,1,3.2,15,14,8,7,10,2,2,19
10210,28,52,1.45,5,5,5,1,1,3.55,1,1,5,2,5,5,5,1,3,1,3,3.2,15,14,8,7,10,2,2,19
10210,28,53,1,3,1,3,2,1,4,5,3,3,3,3,4,4,3,3,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,57,1.45,5,4,4,1,1,3.55,3,1,4,1,3,3,3,1,3,1,1,3.2,15,14,8,7,10,2,2,19
10210,28,58,1,5,1,3,2,1,2,3,1,3,1,3,3,3,1,1,1,1,3.2,15,14,8,7,10,2,2,19
10132,16,1,0.986352064553041,5,2,5,1,1,3.2,3,1,3,1,5,4,3,0.993620755048532,1,1,1,3.51,12,13,13,12,12,3,2,19
10132,16,1,0.969042748239986,5,1,5,1,1,3,5,2,3,3,5,4,3,1.00601209188002,3,2,3,3.51,12,13,13,12,12,3,2,19
10132,16,2,1.00590455571768,5,3,5,1,2,3,3,1,4,1,5,4,3,1.00704548400199,4,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,3,0.992387610384454,2,3,5,1,4,3,3,1,5,1,5,4,5,0.986150302911834,2,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,4,1.01687039834406,2,2,5,1,2,3,3,1,3,1,5,4,2,0.986088628217966,5,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,9,0.968919699060336,4,5,3,1,3,3,3,1,3,1,5,4,2,0.998736371527344,3,3,3,3.51,12,13,13,12,12,3,2,19
10132,16,11,1.02755186074008,3,1,2,3,3,5,5,5,2,5,5,4,2,1.01191825459431,1,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,12,1.00011171950421,3,1,2,1,2,3,3,1,5,2,5,5,3,1.01083588813398,5,3,3,3.51,12,13,13,12,12,3,2,19
10132,16,13,0.991615432514895,3,1,2,3,1,2,3,5,2,4,3,2,2,0.988039726200228,5,5,3,3.51,12,13,13,12,12,3,2,19
10132,16,15,0.979952571601458,1,1,5,1,2,3,3,1,5,1,5,5,5,0.99388383139395,1,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,16,0.967783902306041,2,1,5,1,4,3,3,1,4,1,5,4,4,0.997554641864923,3,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,19,0.987069488611265,3,1,1,3,2,5,5,5,2,5,5,4,1,0.998488780012172,1,3,3,3.51,12,13,13,12,12,3,2,19
10132,16,20,1.01674457131884,2,5,5,1,3,2,3,3,2,3,3,3,2,0.989069519277997,3,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,25,1.00117186550794,3,1,2,1,2,3,3,3,2,3,5,4,2,1.00277432018258,5,3,3,3.51,12,13,13,12,12,3,2,19
10132,16,39,1.02404987383113,3,1,3,1,3,4,3,3,3,2,3,4,2,1.01162413093128,5,5,5,3.51,12,13,13,12,12,3,2,19
10132,16,51,1.02413710353187,2,1,5,1,3,3,3,4,3,3,4,4,4,1.00563315281445,2,5,4,3.51,12,13,13,12,12,3,2,19
10550,16,1,1,5,3,4,0.98705410136294,1,1,3,1,3,2,4,3,4,1,2,3,2,3.49,14,14,14,12,14,4,2,20
10550,16,2,1,2,3,3,1.00274251773259,3,3,3,3,3,3,4,3,3,1,5,5,3,3.49,14,14,14,12,14,4,2,20
10550,16,3,1,3,3,3,0.995700143868089,3,3,3,1,3,2,5,3,3,1,4,3,3,3.49,14,14,14,12,14,4,2,20
10550,16,4,3,1,2,5,1.01944503464706,3,3,5,2,5,3,5,5,5,1,5,5,5,3.49,14,14,14,12,14,4,2,20
10550,16,6,1.42857142857143,1,5,5,1.00323641342032,1,2.5,1,1,5,1,5,4,5,1,1,1,3,3.49,14,14,14,12,14,4,2,20
10550,16,7,1,2,2,4,1.00981580423281,3,4,4,2,3,2,5,5,4,1,1,3,5,3.49,14,14,14,12,14,4,2,20
10550,16,8,1,5,1,3,1.02120118040215,1,1,3,1,5,2,5,5,4,1,1,2,3,3.49,14,14,14,12,14,4,2,20
10550,16,10,1,4,1,3,0.976179302453466,3,3,2,1,3,3,3,3,3,1,5,5,2,3.49,14,14,14,12,14,4,2,20
10550,16,11,1,4,2,2,0.984504933817583,2,1,3,2,2,3,4,3,3,2,5,4,2,3.49,14,14,14,12,14,4,2,20
10550,16,12,4,1,5,5,0.98493330263119,4,2,1,1,5,2,4,4,5,1,1,5,5,3.49,14,14,14,12,14,4,2,20
10550,16,14,1,1,4,4,1.0173522017958,4,4,3,2,5,1,5,4,5,1,2,5,5,3.49,14,14,14,12,14,4,2,20
10550,16,15,1.42857142857143,5,1,1,1.01550692922536,1,2.5,5,2,2,3,3,4,1,3,5,5,1,3.49,14,14,14,12,14,4,2,20
10550,16,16,1,1,3,4,1.01458234365254,4,1,2,1,5,1,4,4,5,1,1,5,4,3.49,14,14,14,12,14,4,2,20
10550,16,18,1,1,3,5,1.01857759472659,5,3,2,1,5,1,5,5,5,1,1,5,5,3.49,14,14,14,12,14,4,2,20
10550,16,20,2,2,2,3,1.00819280636067,4,3,2,2,5,2,4,4,5,2,2,5,4,3.49,14,14,14,12,14,4,2,20
10550,16,22,1,4,1,2,0.996259139133148,1,3,3,1,5,2,4,5,5,1,1,1,2,3.49,14,14,14,12,14,4,2,20
10549,16,1,1,3,4,4,2,3,3,4,1,4,2,4,5,4,1,2,3,3,3.47,14,14,13,13,14,4,2,21
10549,16,2,2,4,3,4,4,3,3,4,3,4,2,3,4,3,2,4,3,3,3.47,14,14,13,13,14,4,2,21
10549,16,5,1,2,1,2,1,5,3,3,2,4,1,3,4,4,2,4,4,3,3.47,14,14,13,13,14,4,2,21
10549,16,6,1,1,2,3,2,4,3,3,2,3,2,4,3,4,1,3,4,4,3.47,14,14,13,13,14,4,2,21
10549,16,10,1,4,4,4,1,3,3,3,3,4,2,4,4,5,1,3,5,4,3.47,14,14,13,13,14,4,2,21
10549,16,12,3,3,2,3,2,3,3,4,2,4,2,3,3,4,2,2,4,4,3.47,14,14,13,13,14,4,2,21
10549,16,14,1,2,3,4,1,3,2,4,1,3,1,4,4,3,1,3,3,3,3.47,14,14,13,13,14,4,2,21
10549,16,20,1,2,4,4,1,4,3,4,1,5,1,4,4,5,1,1,5,5,3.47,14,14,13,13,14,4,2,21
10549,16,22,2,4,3,4,2,3,2,4,2,3,2,4,4,4,2,3,3,4,3.47,14,14,13,13,14,4,2,21
10549,16,23,1,4,3,5,1,3,3,4,1,4,2,4,4,4,1,3,4,4,3.47,14,14,13,13,14,4,2,21
10549,16,24,2,4,3,5,1,5,4,3,1,5,1,5,5,5,1,4,5,5,3.47,14,14,13,13,14,4,2,21
10549,16,25,2,2,3,4,2,4,3,4,2,4,3,4,4,4,2,3,4,4,3.47,14,14,13,13,14,4,2,21
10549,16,27,2,5,1,4,2,1,2,3,2,3,2,3,5,4,1,2,3,3,3.47,14,14,13,13,14,4,2,21
10549,16,29,1.73333333333333,4,3,3,1,2,2.73333333333333,3,1,3,3,3,4,3,3,3,3,3,3.47,14,14,13,13,14,4,2,21
10549,16,49,4,3,1,3,1,2,2,4,1,2,4,3,4,2,2,1,2,3,3.47,14,14,13,13,14,4,2,21
10549,16,50,2,2,3,4,2,4,2,5,1,4,2,3,4,3,2,1,3,3,3.47,14,14,13,13,14,4,2,21
10526,34,1,1,3,3,4,2,3,3,3,2,3,3,4,4,4,2,3,3,2,3.5,12,13,12,12,11,3,1,18
10526,34,2,1,4,4,4,2,4,4,4,1,3,2,5,4,2,3,2,3,2,3.5,12,13,12,12,11,3,1,18
10526,34,3,2,5,5,5,2,1,3,3,2,3,2,2,4,4,1,2,2,2,3.5,12,13,12,12,11,3,1,18
